working_set_pct,hot_region_pct,queue_depth,ccftl_response_us,compression_response_us,resp_delta_us,ccftl_iops,compression_iops,iops_delta,iops_pct_delta,ccftl_bw_Bps,compression_bw_Bps
20,1,8,164,164,0,48733.600693,48733.600693,0.0,0.0,199612828.436812,199612828.436812
20,1,16,328,328,0,48746.570179,48746.570179,0.0,0.0,199665951.453739,199665951.453739
20,1,32,655,655,0,48766.03054,48766.03054,0.0,0.0,199745661.092824,199745661.092824
20,1,64,1311,1311,0,48765.94683,48765.94683,0.0,0.0,199745318.217147,199745318.217147
20,5,8,166,166,0,47777.492344,47777.492344,0.0,0.0,195696608.64275,195696608.64275
20,5,16,332,332,0,47832.736116,47832.736116,0.0,0.0,195922887.130507,195922887.130507
20,5,32,665,665,0,47868.172814,47868.172814,0.0,0.0,196068035.844588,196068035.844588
20,5,64,1329,1329,0,47936.41997,47936.41997,0.0,0.0,196347576.198707,196347576.198707
20,10,8,176,176,0,44093.077035,44093.077035,0.0,0.0,180605243.533729,180605243.533729
20,10,16,353,353,0,44151.923366,44151.923366,0.0,0.0,180846278.105742,180846278.105742
20,10,32,706,706,0,44130.006316,44130.006316,0.0,0.0,180756505.870594,180756505.870594
20,10,64,1410,1410,0,44209.251554,44209.251554,0.0,0.0,181081094.363771,181081094.363771
20,20,8,192,192,0,40505.921717,40505.921717,0.0,0.0,165912255.351372,165912255.351372
20,20,16,385,385,0,40510.154585,40510.154585,0.0,0.0,165929593.181188,165929593.181188
20,20,32,769,769,0,40514.499791,40514.499791,0.0,0.0,165947391.144143,165947391.144143
20,20,64,1535,1535,0,40596.478373,40596.478373,0.0,0.0,166283175.416754,166283175.416754
20,40,8,201,201,0,38810.578815,38810.578815,0.0,0.0,158968130.825162,158968130.825162
20,40,16,402,402,0,38860.082133,38860.082133,0.0,0.0,159170896.417134,159170896.417134
20,40,32,804,804,0,38909.164757,38909.164757,0.0,0.0,159371938.845781,159371938.845781
20,40,64,1608,1608,0,38896.628317,38896.628317,0.0,0.0,159320589.585186,159320589.585186
40,1,8,164,164,0,48720.7162,48720.7162,0.0,0.0,199560053.556735,199560053.556735
40,1,16,328,328,0,48733.678829,48733.678829,0.0,0.0,199613148.483652,199613148.483652
40,1,32,655,655,0,48759.62479,48759.62479,0.0,0.0,199719423.141197,199719423.141197
40,1,64,1311,1311,0,48765.94683,48765.94683,0.0,0.0,199745318.217147,199745318.217147
40,5,8,174,174,0,44818.616817,44818.616817,0.0,0.0,183577054.48166,183577054.48166
40,5,16,348,348,0,44822.461346,44822.461346,0.0,0.0,183592801.672276,183592801.672276
40,5,32,696,696,0,44897.60401,44897.60401,0.0,0.0,183900586.025078,183900586.025078
40,5,64,1390,1390,0,44980.466198,44980.466198,0.0,0.0,184239989.547019,184239989.547019
40,10,8,193,193,0,39922.245253,39922.245253,0.0,0.0,163521516.555181,163521516.555181
40,10,16,386,386,0,39949.835684,39949.835684,0.0,0.0,163634526.960827,163634526.960827
40,10,32,773,773,0,39957.945009,39957.945009,0.0,0.0,163667742.755881,163667742.755881
40,10,64,1543,1543,0,40024.332553,40024.332553,0.0,0.0,163939666.13639,163939666.13639
40,20,8,202,202,0,38534.920808,38534.920808,0.0,0.0,157839035.628155,157839035.628155
40,20,16,403,403,0,38592.786591,38592.786591,0.0,0.0,158076053.878309,158076053.878309
40,20,32,807,807,0,38605.877572,38605.877572,0.0,0.0,158129674.535581,158129674.535581
40,20,64,1614,1614,0,38598.30259,38598.30259,0.0,0.0,158098647.40856,158098647.40856
40,40,8,205,205,0,37708.742258,37708.742258,0.0,0.0,154455008.28742,154455008.28742
40,40,16,411,411,0,37739.471429,37739.471429,0.0,0.0,154580874.972109,154580874.972109
40,40,32,821,821,0,37736.249868,37736.249868,0.0,0.0,154567679.458472,154567679.458472
40,40,64,1641,1641,0,37768.416881,37768.416881,0.0,0.0,154699435.545596,154699435.545596
60,1,8,164,164,0,48655.655747,48655.655747,0.0,0.0,199293565.939243,199293565.939243
60,1,16,328,328,0,48678.823151,48678.823151,0.0,0.0,199388459.627668,199388459.627668
60,1,32,655,655,0,48721.374201,48721.374201,0.0,0.0,199562748.727995,199562748.727995
60,1,64,1311,1311,0,48765.94683,48765.94683,0.0,0.0,199745318.217147,199745318.217147
60,5,8,184,184,0,41227.159834,41227.159834,0.0,0.0,168866446.679824,168866446.679824
60,5,16,369,369,0,41243.522504,41243.522504,0.0,0.0,168933468.175272,168933468.175272
60,5,32,738,738,0,41313.233674,41313.233674,0.0,0.0,169219005.128584,169219005.128584
60,5,64,1475,1475,0,41256.612667,41256.612667,0.0,0.0,168987085.482418,168987085.482418
60,10,8,196,196,0,39697.172974,39697.172974,0.0,0.0,162599620.502172,162599620.502172
60,10,16,392,392,0,39702.184491,39702.184491,0.0,0.0,162620147.677092,162620147.677092
60,10,32,784,784,0,39751.436283,39751.436283,0.0,0.0,162821883.015148,162821883.015148
60,10,64,1567,1567,0,39749.774744,39749.774744,0.0,0.0,162815077.351379,162815077.351379
60,20,8,205,205,0,37747.092657,37747.092657,0.0,0.0,154612091.524178,154612091.524178
60,20,16,411,411,0,37766.556355,37766.556355,0.0,0.0,154691814.829064,154691814.829064
60,20,32,822,822,0,37786.66423,37786.66423,0.0,0.0,154774176.685865,154774176.685865
60,20,64,1643,1643,0,37798.088245,37798.088245,0.0,0.0,154820969.449525,154820969.449525
60,40,8,208,208,0,37565.110338,37565.110338,0.0,0.0,153866691.944146,153866691.944146
60,40,16,416,416,0,37569.389112,37569.389112,0.0,0.0,153884217.802557,153884217.802557
60,40,32,833,833,0,37589.068802,37589.068802,0.0,0.0,153964825.813358,153964825.813358
60,40,64,1664,1664,0,37592.928639,37592.928639,0.0,0.0,153980635.704518,153980635.704518
80,1,8,164,164,0,48313.870013,48313.870013,0.0,0.0,197893611.573083,197893611.573083
80,1,16,329,329,0,48360.278894,48360.278894,0.0,0.0,198083702.347919,198083702.347919
80,1,32,658,658,0,48402.628163,48402.628163,0.0,0.0,198257164.954326,198257164.954326
80,1,64,1314,1314,0,48500.759791,48500.759791,0.0,0.0,198659112.104254,198659112.104254
80,5,8,186,186,0,41951.052326,41951.052326,0.0,0.0,171831510.327281,171831510.327281
80,5,16,373,373,0,41935.1398,41935.1398,0.0,0.0,171766332.620429,171766332.620429
80,5,32,746,746,0,41978.161709,41978.161709,0.0,0.0,171942550.361414,171942550.361414
80,5,64,1489,1489,0,42046.932702,42046.932702,0.0,0.0,172224236.348163,172224236.348163
80,10,8,200,200,0,38738.012501,38738.012501,0.0,0.0,158670899.204295,158670899.204295
80,10,16,400,400,0,38821.324644,38821.324644,0.0,0.0,159012145.740563,159012145.740563
80,10,32,800,800,0,38731.581153,38731.581153,0.0,0.0,158644556.402728,158644556.402728
80,10,64,1599,1599,0,38779.645206,38779.645206,0.0,0.0,158841426.765505,158841426.765505
80,20,8,205,205,0,37887.156539,37887.156539,0.0,0.0,155185793.185177,155185793.185177
80,20,16,411,411,0,37916.896035,37916.896035,0.0,0.0,155307606.159046,155307606.159046
80,20,32,823,823,0,37957.404805,37957.404805,0.0,0.0,155473530.081754,155473530.081754
80,20,64,1642,1642,0,38028.600446,38028.600446,0.0,0.0,155765147.426318,155765147.426318
80,40,8,209,209,0,36656.667542,36656.667542,0.0,0.0,150145710.253481,150145710.253481
80,40,16,418,418,0,36688.991629,36688.991629,0.0,0.0,150278109.710898,150278109.710898
